,title,paragraph,news_list,event_timestamp
0,covid grinch cancel santa rally stock market,opinion stock market typically trade higher time santa rally investor typically ebullient mood omicron could grinch,Supplier Market,2021-12-20T12:34:00Z
1,spdr sp xop etf multiyear uptrend buy dip,spdr sp oil gas exploration production etf xop recently sold high back new covid omicron variant check trading strategy,Financial Health,2021-12-20T12:31:00Z
2,britain report new omicron case major incident declared london national,total number omicron case recorded across country hit almost gmt friday case hour earlier,Environmental,2021-12-20T12:31:00Z
3,risk aversion sentiment continues percolate,risk aversion sentiment rapid spread omicron coronavirus variant potential restriction string new covidrelated restriction,Commodities,2021-12-20T12:30:00Z
4,omicron rush booster may make harder stop rise new covid variant,country saying three vaccine dos needed protect omicron mean place barely get enough two dos,Commodities,2021-12-20T12:16:00Z
5,already know high low hence economic priority evident,first two priority get ready deal omicron without lockdown restriction reopen school twoyear closure school serious setback,Supplier Market,2021-12-20T12:16:00Z
6,israel ban travel u canada omicron variant,israeli minister agreed ban travel united state canada eight country amid rapid global spread omicron variant,Supplier Market,2021-12-20T12:06:00Z
7,oregon hospital bed supply drastically short omicron spread,omicron covid variant spread rapidly across country oregon health official warn may impact hospital around state,Financial Health,2021-12-20T11:59:00Z
8,omicron evidence suggest new covid variant le severe delta find uk study,omicron covid risk reinfection new variant time greater delta variant,Financial Health,2021-12-20T11:58:00Z
9,asian stock fall concern omicron variant tighter fed policy,omicron threatens grinch rob christmas said mizuho bank vishnu varathan market prefers safety nasty surprise,Compliance,2021-12-20T11:58:00Z
10,u treasury yield tick lower omicron trigger covid restriction,u treasury yield moved lower friday morning investor remained cautious spread omicron variant,Financial Health,2021-12-20T11:57:00Z
11,lockdownlike situation refrain christmas new year party bmc amid rising omicron case,maharashtra lockdown news maharashtra lockdown update maharashtra lockdown news today maharashtra lockdown news today hindi maharashtra lockdown maharashtra lockdown omicron maharashtra lockdown guideline today maharashtra lockdown date maharashtra lockdown april,Financial Health,2021-12-20T11:47:00Z
12,gold hold near week high omicron jitter,gold price edged higher monday fear rapidly spreading omicron coronavirus variant boosted metal safehaven appeal,Supplier Market,2021-12-20T11:44:00Z
13,rising usd index fear omicron spread lift usdinr test soon,read rising usd index fear omicron spread lift usdinr test soon param sarma investingcom india,Compliance,2021-12-20T11:44:00Z
14,concentric ginkgo xprescheck confirm first north american detection novel ba sublineage omicron variant cdc covid air travel biosecurity program,concentric ginkgo xprescheck confirm first north american detection novel ba sublineage omicron variant cdc covid air travel biosecurity program read article along career information tip advice biospace,Commodities,2021-12-20T11:41:00Z
15,bsd facing omicron case,omicron variant may made way three brandon school possibly fourth accordin,Financial Health,2021-12-20T11:41:00Z
16,forget making money ipo theyre europe biggest loser,bloomberg one group lose year hot european stock market investor bought overpriced initial public offeringsmost read bloombergsouth africa hospitalization rate plunge omicron wavebiden issue stark warning vaccination amid covid surgestocks future sink manchin shock virus market wrapeurope brace covid lockdown uk case surgeengland hundred thousand new omicron case dailyhalf year big,Supplier Market,2021-12-20T11:38:00Z
17,stock drop oil manchin shock omicron market envelop,bloomberg future u stock asian stock crude oil fell monday amid concern restriction tackle omicron virus variant,Financial Health,2021-12-20T11:37:00Z
